NAME:,run_3_1.csv,,
EXPERIMENT TIME:,07/06/2023 16:47,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,145,,
 ,,,
Time [sec],ACC X,ACC Y,ACC Z
35.323,4.04,1.49,3.73
35.373,-4.63,-15.97,-4.86
35.436,-2.12,-16.08,0.31
35.464,6.63,-17.57,2.39
35.514,-1.8,-12.43,-3.1
35.573,-2.98,-8.79,-3.84
35.615,-2.75,-0.51,-5.33
35.692,0.04,-1.61,0.2
35.721,-10.83,-12.24,9.77
35.765,-0.59,-6.24,4.86
35.829,1.22,-11.89,-0.43
35.885,1.14,-5.37,-12.67
35.936,2.08,-15.69,5.37
35.984,5.26,-6.9,-0.67
36.04,0,-2.79,0.04
36.089,0.24,-1.22,2.51
36.141,4,1.26,0.98
36.197,-1.06,-17.97,0.82
36.252,0.39,-20.01,3.73
36.302,3.65,-16.44,2.59
36.336,-2.75,-9.65,-2.04
36.428,-0.31,-7.77,-6.24
36.441,-0.35,1.96,-1.49
36.486,-0.55,-1.06,2.51
36.534,-6.55,-10.9,4.9
36.59,0.04,-6.08,6
36.65,-1.33,-12.75,-0.43
36.701,1.33,-17.46,-0.04
36.751,4.24,-20.01,9.69
36.789,1.88,-6.79,2.39
36.841,-0.16,-0.82,-1.26
36.893,-1.06,-2.43,2.71
37.027,5.57,2.55,10.04
37.036,1.92,-20.01,12.32
37.052,3.33,-20.01,1.96
37.096,3.18,-15.77,-3.69
37.148,-4.12,-8.9,-2.43
37.203,-1.96,-5.14,-6.79
37.262,0.82,0.63,1.29
37.314,-5.06,2.67,5.96
37.368,20.01,-20.01,-18.16
37.398,4.2,-15.42,0.27
37.453,-1.02,-19.38,-0.94
37.501,4.86,-19.34,7.45
37.555,5.18,-9.34,3.1
37.729,2.67,2.43,-0.16
37.755,2.31,-15.97,-0.47
37.828,-4.28,-18.55,4.24
37.882,4.28,-15.73,3.8
37.929,-1.96,-16.95,-0.31
37.978,-3.53,-6,-3.14
38.009,2.04,1.73,-2.43
38.062,-1.29,-1.41,2.47
38.343,-11.06,-5.92,6.35
38.353,3.3,-5.61,0.67
38.831,-3.18,-11.69,0.12
39.311,-1.37,-2.24,-0.55
39.316,-14.08,-8.9,2.63
39.32,8.63,-13.3,-2.71
39.335,1.57,-14.67,2.82
39.397,0.35,-20.01,3.88
39.456,1.65,-17.69,-2
39.532,-2,-10,-1.69
39.555,-0.55,-8.67,-5.26
39.602,1.22,2.04,-1.1
39.666,-0.24,-1.33,3.45
39.696,-10.36,-4.59,2.04
39.745,3.06,-11.34,3.92
39.802,-1.06,-13.49,-1.61
39.848,4,-13.65,1.61
39.904,6.59,-12.28,3.92
39.96,0.63,-5.3,-0.78
40.011,-0.55,-1.18,4.2
40.063,0.78,-0.59,-0.78
40.114,-1.96,-11.73,1.06
40.271,-3.22,-12.4,-5.22
40.318,0.2,-10.79,-6.55
40.374,0.27,-1.96,-0.67
40.426,0.39,-2.79,-0.16
40.48,-8.08,-9.18,0.16
40.529,-1.69,-8.79,3.22
40.559,-1.45,-13.89,1.45
40.617,5.41,-10.9,-2.04
40.667,3.88,-17.89,4.51
40.718,5.41,-7.92,2.47
40.817,-0.75,-2.16,-1.77
40.826,-1.06,-1.92,5.96
40.878,2.31,1.84,6.04
40.934,2.39,-16.51,3.45
40.968,4.67,-20.01,6.75
41.033,2.98,-14.4,-0.12
41.08,-2.47,-12.36,-1.49
41.127,-3.49,-6.83,-5.33
