"""Time [sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""33.604763648""","""8.08""","""-2.51""","""-2.47"""
"""33.697038336000006""","""7.92""","""-2.63""","""-2.08"""
"""33.780924416000005""","""7.65""","""-2.79""","""-0.86"""
"""33.864810496000004""","""10.43""","""-1.92""","""-0.86"""
"""33.948696576""","""13.73""","""-4.31""","""-4.08"""
"""34.007416832000004""","""3.65""","""-1.80""","""-3.18"""
"""34.108080128000005""","""10.98""","""-1.49""","""-3.96"""
"""34.175188992""","""10.12""","""-4.31""","""-2.08"""
"""34.309406720000005""","""7.96""","""-2.24""","""-3.37"""
"""34.384904192""","""7.30""","""-0.71""","""-1.84"""
"""34.426847232""","""7.96""","""-1.80""","""-2.39"""
"""34.502344704""","""14.40""","""-1.02""","""-2.75"""
"""34.586230784""","""11.14""","""-0.59""","""-3.14"""
"""34.670116864""","""3.73""","""-2.16""","""-4.86"""
"""34.754002944""","""10.75""","""-2.47""","""-3.37"""
"""34.846277632""","""7.37""","""-0.55""","""-3.80"""
"""34.904997888000004""","""7.77""","""-2.98""","""-2.31"""
"""34.988883968""","""7.37""","""-3.65""","""-0.55"""
"""35.089547264000004""","""6.94""","""-3.22""","""-2.90"""
"""35.156656128""","""14.32""","""-2.86""","""-4.24"""
"""35.223764992""","""4.79""","""-4.12""","""-3.45"""
"""35.324428288""","""8.94""","""0.43""","""-4.51"""
"""35.391537152000005""","""10.32""","""-3.45""","""-2.86"""
"""35.475423232000004""","""8.43""","""-1.84""","""-3.45"""
"""35.559309312""","""7.85""","""-0.24""","""-1.57"""
"""35.643195392""","""6.90""","""-2.12""","""-0.47"""
"""35.727081472""","""13.69""","""-1.61""","""0.16"""
"""35.802578944000004""","""16.28""","""-3.30""","""-3.84"""
"""35.894853632""","""5.65""","""-0.20""","""-4.28"""
"""35.970351104""","""7.85""","""-2.55""","""-2.75"""
"""36.045848576000004""","""12.43""","""-1.77""","""-4.20"""
"""36.11295744""","""8.51""","""-1.88""","""-2.16"""
"""38.654705664000005""","""7.14""","""-3.30""","""-1.26"""
"""39.158022144""","""7.77""","""-2.71""","""-1.06"""
"""39.158022144""","""13.02""","""-2.63""","""-1.29"""
"""39.652950016000005""","""14.08""","""-6.00""","""-3.77"""
"""40.156266496""","""3.88""","""0.12""","""-1.77"""
"""40.189820928""","""10.04""","""-2.75""","""-5.419.81"""
"""40.198209536""","""9.85""","""-1.73""","""-2.90"""
"""40.206598144000004""","""9.06""","""-2.47""","""-3.18"""
"""40.223375360000006""","""7.73""","""-2.28""","""-2.207.92"""
"""40.240152576""","""10.20""","""-6.79""","""-3.53"""
"""40.315650048""","""5.57""","""1.26""","""-4.12"""
"""40.407924736000005""","""11.65""","""-4.51""","""-5.18"""
"""40.466644992""","""8.87""","""-2.35""","""-3.22"""
"""40.55891968""","""8.43""","""-1.37""","""-2.12"""
"""40.64280576""","""6.86""","""-1.53""","""-0.39"""
"""40.72669184""","""11.77""","""-1.53""","""-5.02"""
"""40.827355136""","""13.69""","""-5.88""","""-4.20"""
"""40.894464""","""11.02""","""-0.59""","""-2.90"""
"""40.961572864000004""","""4.20""","""-2.35""","""-4.16"""
"""41.037070336""","""10.79""","""-1.88""","""-2.47"""
"""41.129345024""","""7.45""","""-0.94""","""-4.90"""
"""41.196453888""","""8.90""","""-4.75""","""-1.88"""
"""41.288728576000004""","""7.10""","""-2.31""","""-1.29"""
"""41.372614656""","""9.73""","""-1.45""","""-1.84"""
"""41.43972352""","""16.63""","""-4.90""","""-4.20"""
"""41.5236096""","""10.40""","""-5.96""","""-3.77"""
"""41.60749568""","""4.94""","""0.59""","""-4.12"""
"""41.699770368""","""11.02""","""-3.92""","""-4.20"""
"""41.766879232""","""8.90""","""-3.96""","""-3.41"""
"""41.909485568""","""8.79""","""-1.45""","""-2.35"""
"""41.968205824""","""6.32""","""-0.78""","""-1.33"""
"""42.018537472000006""","""10.75""","""-1.26""","""-3.92"""
"""42.094034944""","""17.93""","""-6.67""","""-5.65"""
"""42.177921024""","""10.36""","""0.08""","""-4.47"""
"""42.261807104000006""","""5.18""","""-3.22""","""-4.20"""
"""42.345693184000005""","""10.32""","""-2.98""","""-3.02"""
